res	var	time	id	start	end	path
daily	kl	historical				/daily/kl/historical/BESCHREIBUNG_obsgermany_climate_daily_kl_historical_de.pdf
daily	kl	historical				/daily/kl/historical/DESCRIPTION_obsgermany_climate_daily_kl_historical_en.pdf
daily	kl	historical				/daily/kl/historical/KL_Tageswerte_Beschreibung_Stationen.txt
daily	kl	historical	00001	19370101	19860630	/daily/kl/historical/tageswerte_00001_19370101_19860630_hist.zip
daily	kl	historical	00003	18910101	20110331	/daily/kl/historical/tageswerte_00003_18910101_20110331_hist.zip
daily	kl	historical	00044	19710301	20151231	/daily/kl/historical/tageswerte_00044_19710301_20151231_hist.zip
daily	kl	historical	00052	19730101	20011231	/daily/kl/historical/tageswerte_00052_19730101_20011231_hist.zip
daily	kl	historical	00061	19750701	19780831	/daily/kl/historical/tageswerte_00061_19750701_19780831_hist.zip
daily	kl	historical	00070	19730601	19860930	/daily/kl/historical/tageswerte_00070_19730601_19860930_hist.zip
daily	kl	historical	00071	19861101	20151231	/daily/kl/historical/tageswerte_00071_19861101_20151231_hist.zip
daily	kl	historical	00072	19781001	19950531	/daily/kl/historical/tageswerte_00072_19781001_19950531_hist.zip
daily	kl	historical	00073	19590301	20151231	/daily/kl/historical/tageswerte_00073_19590301_20151231_hist.zip
daily	kl	historical	00078	19610101	20151231	/daily/kl/historical/tageswerte_00078_19610101_20151231_hist.zip
daily	kl	historical	00091	19781101	20151231	/daily/kl/historical/tageswerte_00091_19781101_20151231_hist.zip
daily	kl	historical	00093	19771201	19781031	/daily/kl/historical/tageswerte_00093_19771201_19781031_hist.zip
daily	kl	historical	00098	19470101	19541231	/daily/kl/historical/tageswerte_00098_19470101_19541231_hist.zip
daily	kl	historical	00102	19980101	20151231	/daily/kl/historical/tageswerte_00102_19980101_20151231_hist.zip
daily	kl	historical	00116	19470101	19661231	/daily/kl/historical/tageswerte_00116_19470101_19661231_hist.zip
daily	kl	historical	00125	20000702	20151231	/daily/kl/historical/tageswerte_00125_20000702_20151231_hist.zip
daily	kl	historical	00129	19910101	20061231	/daily/kl/historical/tageswerte_00129_19910101_20061231_hist.zip
daily	kl	historical	00131	20041101	20151231	/daily/kl/historical/tageswerte_00131_20041101_20151231_hist.zip
