id	name	state	lat	lon	ele	nfiles	nonpublic	recentfile	display	col
1	Aach	Baden-Wuerttemberg	47.8413	8.8493	478	16	16	FALSE	rdwd::metaInfo(id=1)<br>name: Aach<br>state: Baden-Wuerttemberg<br>lat: 47.8413<br>lon:  8.8493<br>ele:  478<br>n public files: 16<br>nonpublic: 16<br>recentfile: FALSE	red
3	Aachen	Nordrhein-Westfalen	50.7827	6.0941	202	35	36	FALSE	rdwd::metaInfo(id=3)<br>name: Aachen<br>state: Nordrhein-Westfalen<br>lat: 50.7827<br>lon:  6.0941<br>ele:  202<br>n public files: 35<br>nonpublic: 36<br>recentfile: FALSE	red
4	Aachen-Brand	Nordrhein-Westfalen	50.7683	6.1207	243	3	3	FALSE	rdwd::metaInfo(id=4)<br>name: Aachen-Brand<br>state: Nordrhein-Westfalen<br>lat: 50.7683<br>lon:  6.1207<br>ele:  243<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
14152	Aachen-Brand (WV NRW)	Nordrhein-Westfalen	50.7495	6.1863	222	0	6	FALSE	rdwd::metaInfo(id=14152)<br>name: Aachen-Brand (WV NRW)<br>state: Nordrhein-Westfalen<br>lat: 50.7495<br>lon:  6.1863<br>ele:  222<br>n public files:  0<br>nonpublic:  6<br>recentfile: FALSE	red
5	Aachen-Merzbrueck	Nordrhein-Westfalen	50.8167	6.1833	190	0	12	FALSE	rdwd::metaInfo(id=5)<br>name: Aachen-Merzbrueck<br>state: Nordrhein-Westfalen<br>lat: 50.8167<br>lon:  6.1833<br>ele:  190<br>n public files:  0<br>nonpublic: 12<br>recentfile: FALSE	red
15000	Aachen-Orsbach	Nordrhein-Westfalen	50.7983	6.0244	231	79	3	TRUE	rdwd::metaInfo(id=15000)<br>name: Aachen-Orsbach<br>state: Nordrhein-Westfalen<br>lat: 50.7983<br>lon:  6.0244<br>ele:  231<br>n public files: 79<br>nonpublic:  3<br>recentfile: TRUE	blue
2	Aachen (Klaeranlage)	Nordrhein-Westfalen	50.8066	6.0996	138	3	3	FALSE	rdwd::metaInfo(id=2)<br>name: Aachen (Klaeranlage)<br>state: Nordrhein-Westfalen<br>lat: 50.8066<br>lon:  6.0996<br>ele:  138<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
7	Aalen-Unterkochen	Baden-Wuerttemberg	48.814	10.1285	473	3	3	FALSE	rdwd::metaInfo(id=7)<br>name: Aalen-Unterkochen<br>state: Baden-Wuerttemberg<br>lat: 48.8140<br>lon: 10.1285<br>ele:  473<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
6	Aalen-Unterrombach	Baden-Wuerttemberg	48.8361	10.0598	455	6	0	TRUE	rdwd::metaInfo(id=6)<br>name: Aalen-Unterrombach<br>state: Baden-Wuerttemberg<br>lat: 48.8361<br>lon: 10.0598<br>ele:  455<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
8	Aarbergen-Panrod	Hessen	50.2546	8.131	307	3	3	FALSE	rdwd::metaInfo(id=8)<br>name: Aarbergen-Panrod<br>state: Hessen<br>lat: 50.2546<br>lon:  8.1310<br>ele:  307<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
9	Aarbergen-Rueckershausen	Hessen	50.2655	8.0516	200	3	3	FALSE	rdwd::metaInfo(id=9)<br>name: Aarbergen-Rueckershausen<br>state: Hessen<br>lat: 50.2655<br>lon:  8.0516<br>ele:  200<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
10	Abbach,Bad-Duenzling	Bayern	48.8857	12.1079	378	3	3	FALSE	rdwd::metaInfo(id=10)<br>name: Abbach,Bad-Duenzling<br>state: Bayern<br>lat: 48.8857<br>lon: 12.1079<br>ele:  378<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
12	Abbensen	Niedersachsen	52.3814	10.186	61	3	3	FALSE	rdwd::metaInfo(id=12)<br>name: Abbensen<br>state: Niedersachsen<br>lat: 52.3814<br>lon: 10.1860<br>ele:   61<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
13	Abberode	Sachsen-Anhalt	51.6154	11.2892	300	3	3	FALSE	rdwd::metaInfo(id=13)<br>name: Abberode<br>state: Sachsen-Anhalt<br>lat: 51.6154<br>lon: 11.2892<br>ele:  300<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
14	Abelitzmoor	Niedersachsen	53.5333	7.5	9	3	3	FALSE	rdwd::metaInfo(id=14)<br>name: Abelitzmoor<br>state: Niedersachsen<br>lat: 53.5333<br>lon:  7.5000<br>ele:    9<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
15	Abenberg	Bayern	49.2346	10.9668	390	6	0	TRUE	rdwd::metaInfo(id=15)<br>name: Abenberg<br>state: Bayern<br>lat: 49.2346<br>lon: 10.9668<br>ele:  390<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
16	Abenberg-Wassermungenau	Bayern	49.2193	10.8845	370	3	3	FALSE	rdwd::metaInfo(id=16)<br>name: Abenberg-Wassermungenau<br>state: Bayern<br>lat: 49.2193<br>lon: 10.8845<br>ele:  370<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
17	Abensberg-Sandharlanden	Bayern	48.8421	11.8194	380	3	3	FALSE	rdwd::metaInfo(id=17)<br>name: Abensberg-Sandharlanden<br>state: Bayern<br>lat: 48.8421<br>lon: 11.8194<br>ele:  380<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
15009	Abentheuer	Rheinland-Pfalz	49.657	7.1039	460	0	6	FALSE	rdwd::metaInfo(id=15009)<br>name: Abentheuer<br>state: Rheinland-Pfalz<br>lat: 49.6570<br>lon:  7.1039<br>ele:  460<br>n public files:  0<br>nonpublic:  6<br>recentfile: FALSE	red
18	Abentheuerhuette	Rheinland-Pfalz	49.65	7.0833	420	3	3	FALSE	rdwd::metaInfo(id=18)<br>name: Abentheuerhuette<br>state: Rheinland-Pfalz<br>lat: 49.6500<br>lon:  7.0833<br>ele:  420<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
19	Abtsgmuend-Neubronn	Baden-Wuerttemberg	48.8795	9.971	471	6	0	TRUE	rdwd::metaInfo(id=19)<br>name: Abtsgmuend-Neubronn<br>state: Baden-Wuerttemberg<br>lat: 48.8795<br>lon:  9.9710<br>ele:  471<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
20	Abtsgmuend-Untergroeningen	Baden-Wuerttemberg	48.922	9.9129	432	15	2	TRUE	rdwd::metaInfo(id=20)<br>name: Abtsgmuend-Untergroeningen<br>state: Baden-Wuerttemberg<br>lat: 48.9220<br>lon:  9.9129<br>ele:  432<br>n public files: 15<br>nonpublic:  2<br>recentfile: TRUE	blue
21	Achberg-Doberatsweiler	Baden-Wuerttemberg	47.6105	9.6983	498	8	0	TRUE	rdwd::metaInfo(id=21)<br>name: Achberg-Doberatsweiler<br>state: Baden-Wuerttemberg<br>lat: 47.6105<br>lon:  9.6983<br>ele:  498<br>n public files:  8<br>nonpublic:  0<br>recentfile: TRUE	blue
6343	Achenkirch/Oesterreich	Tirol	47.5075	11.7049	902	0	6	FALSE	rdwd::metaInfo(id=6343)<br>name: Achenkirch/Oesterreich<br>state: Tirol<br>lat: 47.5075<br>lon: 11.7049<br>ele:  902<br>n public files:  0<br>nonpublic:  6<br>recentfile: FALSE	red
22	Achern-Fautenbach	Baden-Wuerttemberg	48.6317	8.0466	138	6	0	TRUE	rdwd::metaInfo(id=22)<br>name: Achern-Fautenbach<br>state: Baden-Wuerttemberg<br>lat: 48.6317<br>lon:  8.0466<br>ele:  138<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
23	Achim-Embsen	Niedersachsen	53.0311	9.0233	8	6	0	TRUE	rdwd::metaInfo(id=23)<br>name: Achim-Embsen<br>state: Niedersachsen<br>lat: 53.0311<br>lon:  9.0233<br>ele:    8<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
24	Achthal	Bayern	47.8333	12.7833	582	3	3	FALSE	rdwd::metaInfo(id=24)<br>name: Achthal<br>state: Bayern<br>lat: 47.8333<br>lon: 12.7833<br>ele:  582<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
25	Adelberg	Baden-Wuerttemberg	48.7667	9.6	474	1	3	FALSE	rdwd::metaInfo(id=25)<br>name: Adelberg<br>state: Baden-Wuerttemberg<br>lat: 48.7667<br>lon:  9.6000<br>ele:  474<br>n public files:  1<br>nonpublic:  3<br>recentfile: FALSE	red
26	Adelheidsdorf	Niedersachsen	52.5503	10.0544	41	3	3	FALSE	rdwd::metaInfo(id=26)<br>name: Adelheidsdorf<br>state: Niedersachsen<br>lat: 52.5503<br>lon: 10.0544<br>ele:   41<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
27	Adelholzen, Bad	Bayern	47.8167	12.6167	657	3	3	FALSE	rdwd::metaInfo(id=27)<br>name: Adelholzen, Bad<br>state: Bayern<br>lat: 47.8167<br>lon: 12.6167<br>ele:  657<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
28	Adelmannsfelden	Baden-Wuerttemberg	48.954	10.006	470	3	3	FALSE	rdwd::metaInfo(id=28)<br>name: Adelmannsfelden<br>state: Baden-Wuerttemberg<br>lat: 48.9540<br>lon: 10.0060<br>ele:  470<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
29	Adelsdorf (Klaeranlage)	Bayern	49.7175	10.9101	260	5	7	TRUE	rdwd::metaInfo(id=29)<br>name: Adelsdorf (Klaeranlage)<br>state: Bayern<br>lat: 49.7175<br>lon: 10.9101<br>ele:  260<br>n public files:  5<br>nonpublic:  7<br>recentfile: TRUE	blue
30	Adelsheim	Baden-Wuerttemberg	49.4064	9.3914	260	4	4	FALSE	rdwd::metaInfo(id=30)<br>name: Adelsheim<br>state: Baden-Wuerttemberg<br>lat: 49.4064<br>lon:  9.3914<br>ele:  260<br>n public files:  4<br>nonpublic:  4<br>recentfile: FALSE	red
31	Adendorf	Niedersachsen	53.2833	10.4333	25	3	3	FALSE	rdwd::metaInfo(id=31)<br>name: Adendorf<br>state: Niedersachsen<br>lat: 53.2833<br>lon: 10.4333<br>ele:   25<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
32	Adenstedt	Niedersachsen	52	9.9333	194	3	3	FALSE	rdwd::metaInfo(id=32)<br>name: Adenstedt<br>state: Niedersachsen<br>lat: 52.0000<br>lon:  9.9333<br>ele:  194<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
33	Aderstedt	Sachsen-Anhalt	52.0286	10.9994	93	3	3	FALSE	rdwd::metaInfo(id=33)<br>name: Aderstedt<br>state: Sachsen-Anhalt<br>lat: 52.0286<br>lon: 10.9994<br>ele:   93<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
34	Adolzfurt	Baden-Wuerttemberg	49.1667	9.45	220	3	3	FALSE	rdwd::metaInfo(id=34)<br>name: Adolzfurt<br>state: Baden-Wuerttemberg<br>lat: 49.1667<br>lon:  9.4500<br>ele:  220<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
35	Adorf	Sachsen	50.312	12.2875	480	3	3	FALSE	rdwd::metaInfo(id=35)<br>name: Adorf<br>state: Sachsen<br>lat: 50.3120<br>lon: 12.2875<br>ele:  480<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
15906	Aerzen-Posteholz	Niedersachsen	52.0936	9.208	211	6	0	TRUE	rdwd::metaInfo(id=15906)<br>name: Aerzen-Posteholz<br>state: Niedersachsen<br>lat: 52.0936<br>lon:  9.2080<br>ele:  211<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
36	Aerzen-Reher	Niedersachsen	52.0308	9.235	115	3	3	FALSE	rdwd::metaInfo(id=36)<br>name: Aerzen-Reher<br>state: Niedersachsen<br>lat: 52.0308<br>lon:  9.2350<br>ele:  115<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
37	Affing	Bayern	48.4612	10.9795	470	3	3	FALSE	rdwd::metaInfo(id=37)<br>name: Affing<br>state: Bayern<br>lat: 48.4612<br>lon: 10.9795<br>ele:  470<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
7374	Ahaus	Nordrhein-Westfalen	52.0814	6.941	46	71	0	TRUE	rdwd::metaInfo(id=7374)<br>name: Ahaus<br>state: Nordrhein-Westfalen<br>lat: 52.0814<br>lon:  6.9410<br>ele:   46<br>n public files: 71<br>nonpublic:  0<br>recentfile: TRUE	blue
38	Ahaus (Wieselweg)	Nordrhein-Westfalen	52.09	7.0095	52	3	3	FALSE	rdwd::metaInfo(id=38)<br>name: Ahaus (Wieselweg)<br>state: Nordrhein-Westfalen<br>lat: 52.0900<br>lon:  7.0095<br>ele:   52<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
39	Ahausen	Niedersachsen	53.0585	9.3092	29	3	3	FALSE	rdwd::metaInfo(id=39)<br>name: Ahausen<br>state: Niedersachsen<br>lat: 53.0585<br>lon:  9.3092<br>ele:   29<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
40	Ahlbeck	Mecklenburg-Vorpommern	53.6674	14.1823	5	3	3	FALSE	rdwd::metaInfo(id=40)<br>name: Ahlbeck<br>state: Mecklenburg-Vorpommern<br>lat: 53.6674<br>lon: 14.1823<br>ele:    5<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
41	Ahlden-Grethem	Niedersachsen	52.7356	9.5661	25	6	0	TRUE	rdwd::metaInfo(id=41)<br>name: Ahlden-Grethem<br>state: Niedersachsen<br>lat: 52.7356<br>lon:  9.5661<br>ele:   25<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
43	Ahlen (Falkenberger Moor)	Niedersachsen	53.7	8.7833	3	3	3	FALSE	rdwd::metaInfo(id=43)<br>name: Ahlen (Falkenberger Moor)<br>state: Niedersachsen<br>lat: 53.7000<br>lon:  8.7833<br>ele:    3<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
42	Ahlen in Westfalen	Nordrhein-Westfalen	51.7736	7.8738	70	3	3	FALSE	rdwd::metaInfo(id=42)<br>name: Ahlen in Westfalen<br>state: Nordrhein-Westfalen<br>lat: 51.7736<br>lon:  7.8738<br>ele:   70<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
45	Ahnatal-Weimar	Hessen	51.374	9.4042	298	3	3	FALSE	rdwd::metaInfo(id=45)<br>name: Ahnatal-Weimar<br>state: Hessen<br>lat: 51.3740<br>lon:  9.4042<br>ele:  298<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
46	Aholfing	Bayern	48.945	12.4639	325	5	7	TRUE	rdwd::metaInfo(id=46)<br>name: Aholfing<br>state: Bayern<br>lat: 48.9450<br>lon: 12.4639<br>ele:  325<br>n public files:  5<br>nonpublic:  7<br>recentfile: TRUE	blue
47	Ahorn-Eubigheim	Baden-Wuerttemberg	49.4997	9.5439	338	3	7	FALSE	rdwd::metaInfo(id=47)<br>name: Ahorn-Eubigheim<br>state: Baden-Wuerttemberg<br>lat: 49.4997<br>lon:  9.5439<br>ele:  338<br>n public files:  3<br>nonpublic:  7<br>recentfile: FALSE	red
48	Ahorntal-Kirchahorn	Bayern	49.8364	11.4025	410	3	3	FALSE	rdwd::metaInfo(id=48)<br>name: Ahorntal-Kirchahorn<br>state: Bayern<br>lat: 49.8364<br>lon: 11.4025<br>ele:  410<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
49	Ahorntal-Weiher	Bayern	49.8383	11.4072	398	1	1	FALSE	rdwd::metaInfo(id=49)<br>name: Ahorntal-Weiher<br>state: Bayern<br>lat: 49.8383<br>lon: 11.4072<br>ele:  398<br>n public files:  1<br>nonpublic:  1<br>recentfile: FALSE	red
105	Ahrbrueck	Rheinland-Pfalz	50.4845	6.971	195	6	0	TRUE	rdwd::metaInfo(id=105)<br>name: Ahrbrueck<br>state: Rheinland-Pfalz<br>lat: 50.4845<br>lon:  6.9710<br>ele:  195<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
50	Ahrendsberg	Niedersachsen	51.85	10.4667	549	3	3	FALSE	rdwd::metaInfo(id=50)<br>name: Ahrendsberg<br>state: Niedersachsen<br>lat: 51.8500<br>lon: 10.4667<br>ele:  549<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
51	Ahrensboek	Schleswig-Holstein	54.0167	10.5667	60	3	3	FALSE	rdwd::metaInfo(id=51)<br>name: Ahrensboek<br>state: Schleswig-Holstein<br>lat: 54.0167<br>lon: 10.5667<br>ele:   60<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
52	Ahrensburg-Wulfsdorf	Schleswig-Holstein	53.6623	10.199	46	21	21	FALSE	rdwd::metaInfo(id=52)<br>name: Ahrensburg-Wulfsdorf<br>state: Schleswig-Holstein<br>lat: 53.6623<br>lon: 10.1990<br>ele:   46<br>n public files: 21<br>nonpublic: 21<br>recentfile: FALSE	red
53	Ahrensfelde	Brandenburg	52.585	13.5634	60	13	2	TRUE	rdwd::metaInfo(id=53)<br>name: Ahrensfelde<br>state: Brandenburg<br>lat: 52.5850<br>lon: 13.5634<br>ele:   60<br>n public files: 13<br>nonpublic:  2<br>recentfile: TRUE	blue
54	Ahrenshoeft	Schleswig-Holstein	54.5667	9.0667	5	3	3	FALSE	rdwd::metaInfo(id=54)<br>name: Ahrenshoeft<br>state: Schleswig-Holstein<br>lat: 54.5667<br>lon:  9.0667<br>ele:    5<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
55	Aibling, Bad-Ellmosen	Bayern	47.878	12.0239	509	6	0	TRUE	rdwd::metaInfo(id=55)<br>name: Aibling, Bad-Ellmosen<br>state: Bayern<br>lat: 47.8780<br>lon: 12.0239<br>ele:  509<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
56	Aichach	Bayern	48.45	11.1333	444	3	3	FALSE	rdwd::metaInfo(id=56)<br>name: Aichach<br>state: Bayern<br>lat: 48.4500<br>lon: 11.1333<br>ele:  444<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
58	Aichstetten	Baden-Wuerttemberg	47.8922	10.0796	623	3	3	FALSE	rdwd::metaInfo(id=58)<br>name: Aichstetten<br>state: Baden-Wuerttemberg<br>lat: 47.8922<br>lon: 10.0796<br>ele:  623<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
59	Aiglsbach	Bayern	48.6929	11.7022	405	3	3	FALSE	rdwd::metaInfo(id=59)<br>name: Aiglsbach<br>state: Bayern<br>lat: 48.6929<br>lon: 11.7022<br>ele:  405<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
60	Aislingen	Bayern	48.5032	10.4591	460	3	3	FALSE	rdwd::metaInfo(id=60)<br>name: Aislingen<br>state: Bayern<br>lat: 48.5032<br>lon: 10.4591<br>ele:  460<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
61	Aiterhofen	Bayern	48.8443	12.6171	339	15	15	FALSE	rdwd::metaInfo(id=61)<br>name: Aiterhofen<br>state: Bayern<br>lat: 48.8443<br>lon: 12.6171<br>ele:  339<br>n public files: 15<br>nonpublic: 15<br>recentfile: FALSE	red
62	Aitern-Untermulten	Baden-Wuerttemberg	47.8191	7.8569	1018	3	3	FALSE	rdwd::metaInfo(id=62)<br>name: Aitern-Untermulten<br>state: Baden-Wuerttemberg<br>lat: 47.8191<br>lon:  7.8569<br>ele: 1018<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
63	Aitrang	Bayern	47.8172	10.5374	747	6	0	TRUE	rdwd::metaInfo(id=63)<br>name: Aitrang<br>state: Bayern<br>lat: 47.8172<br>lon: 10.5374<br>ele:  747<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
64	Aken/Elbe	Sachsen-Anhalt	51.8506	12.0482	55	6	0	TRUE	rdwd::metaInfo(id=64)<br>name: Aken/Elbe<br>state: Sachsen-Anhalt<br>lat: 51.8506<br>lon: 12.0482<br>ele:   55<br>n public files:  6<br>nonpublic:  0<br>recentfile: TRUE	blue
65	Albaching	Bayern	48.1094	12.1049	513	3	3	FALSE	rdwd::metaInfo(id=65)<br>name: Albaching<br>state: Bayern<br>lat: 48.1094<br>lon: 12.1049<br>ele:  513<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
66	Albersdorf	Schleswig-Holstein	54.15	9.2833	40	3	3	FALSE	rdwd::metaInfo(id=66)<br>name: Albersdorf<br>state: Schleswig-Holstein<br>lat: 54.1500<br>lon:  9.2833<br>ele:   40<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
67	Albersrieth	Bayern	49.6667	12.3	511	3	3	FALSE	rdwd::metaInfo(id=67)<br>name: Albersrieth<br>state: Bayern<br>lat: 49.6667<br>lon: 12.3000<br>ele:  511<br>n public files:  3<br>nonpublic:  3<br>recentfile: FALSE	red
