id	name	state	lat	long	ele	all_elev	nfiles_coord	nfiles_id	recentfile	display
1	Aach	Baden-Wuerttemberg	47.8413	8.8493	478	478(9)	4 (+5)	4 (+5)	FALSE	rdwd::metaInfo(id=1)<br>name: Aach<br>state: Baden-Wuerttemberg<br>lat: 47.8413<br>long:  8.8493<br>ele:  478.00<br>all_elev: 478(9)<br>nfiles_coord: 4 (+5)<br>nfiles_id: 4 (+5)<br>recentfile: FALSE
3	Aachen	Nordrhein-Westfalen	50.7827	6.0941	202	202(23)	11 (+12)	12 (+12)	FALSE	rdwd::metaInfo(id=3)<br>name: Aachen<br>state: Nordrhein-Westfalen<br>lat: 50.7827<br>long:  6.0941<br>ele:  202.00<br>all_elev: 202(23)<br>nfiles_coord: 11 (+12)<br>nfiles_id: 12 (+12)<br>recentfile: FALSE
3	Aachen	Nordrhein-Westfalen	50.7839	6.0947	202	202(1)	1	12 (+12)	FALSE	rdwd::metaInfo(id=3)<br>name: Aachen<br>state: Nordrhein-Westfalen<br>lat: 50.7839<br>long:  6.0947<br>ele:  202.00<br>all_elev: 202(1)<br>nfiles_coord: 1<br>nfiles_id: 12 (+12)<br>recentfile: FALSE
4	Aachen-Brand	Nordrhein-Westfalen	50.7683	6.1207	243	243(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=4)<br>name: Aachen-Brand<br>state: Nordrhein-Westfalen<br>lat: 50.7683<br>long:  6.1207<br>ele:  243.00<br>all_elev: 243(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
15000	Aachen-Orsbach	Nordrhein-Westfalen	50.7994	6.025	231	231(1)	1	24	FALSE	rdwd::metaInfo(id=15000)<br>name: Aachen-Orsbach<br>state: Nordrhein-Westfalen<br>lat: 50.7994<br>long:  6.0250<br>ele:  231.00<br>all_elev: 231(1)<br>nfiles_coord: 1<br>nfiles_id: 24<br>recentfile: FALSE
15000	Aachen-Orsbach	Nordrhein-Westfalen	50.7982	6.0244	231	231(10)	10	24	FALSE	rdwd::metaInfo(id=15000)<br>name: Aachen-Orsbach<br>state: Nordrhein-Westfalen<br>lat: 50.7982<br>long:  6.0244<br>ele:  231.00<br>all_elev: 231(10)<br>nfiles_coord: 10<br>nfiles_id: 24<br>recentfile: FALSE
15000	Aachen-Orsbach	Nordrhein-Westfalen	50.7983	6.0244	231	231(13)	13	24	TRUE	rdwd::metaInfo(id=15000)<br>name: Aachen-Orsbach<br>state: Nordrhein-Westfalen<br>lat: 50.7983<br>long:  6.0244<br>ele:  231.00<br>all_elev: 231(13)<br>nfiles_coord: 13<br>nfiles_id: 24<br>recentfile:  TRUE
2	Aachen (Klaeranlage)	Nordrhein-Westfalen	50.8066	6.0996	138	138(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=2)<br>name: Aachen (Klaeranlage)<br>state: Nordrhein-Westfalen<br>lat: 50.8066<br>long:  6.0996<br>ele:  138.00<br>all_elev: 138(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
7	Aalen-Unterkochen	Baden-Wuerttemberg	48.814	10.1285	473	473(4)	2 (+2)	2 (+2)	FALSE	rdwd::metaInfo(id=7)<br>name: Aalen-Unterkochen<br>state: Baden-Wuerttemberg<br>lat: 48.8140<br>long: 10.1285<br>ele:  473.00<br>all_elev: 473(4)<br>nfiles_coord: 2 (+2)<br>nfiles_id: 2 (+2)<br>recentfile: FALSE
6	Aalen-Unterrombach	Baden-Wuerttemberg	48.8359	10.0594	456	456(1)	0 (+1)	0 (+3)	FALSE	rdwd::metaInfo(id=6)<br>name: Aalen-Unterrombach<br>state: Baden-Wuerttemberg<br>lat: 48.8359<br>long: 10.0594<br>ele:  456.00<br>all_elev: 456(1)<br>nfiles_coord: 0 (+1)<br>nfiles_id: 0 (+3)<br>recentfile: FALSE
